date_id,site_id,lat,lon,cqi,rsrp,sinr,score,status,timestamp,region
20250429,SITE-001,40.73621,-74.37067,14,-107.8,13.6,68.8,warning,,Atlantic
20250429,SITE-002,41.99385,-87.48741,14,-114.3,0.7,48.4,critical,,Central
20250429,SITE-003,37.88671,-122.26967,4,-103,14.1,46.3,critical,,West
20250429,SITE-004,32.82134,-96.74667,10,-89.7,-3.9,50.7,warning,,Texas
20250429,SITE-005,26.17661,-79.74677,11,-96.3,6.7,61.1,warning,,Florida
20250429,SITE-006,40.78771,-74.07068,7,-93.3,13.9,61.4,warning,,Atlantic
20250429,SITE-007,42.01433,-88.5105,6,-96.5,0,39.6,critical,,Central
20250429,SITE-008,37.73992,-122.505,5,-86.2,18.5,66.9,warning,,West
20250429,SITE-009,33.03985,-96.91396,5,-85.8,14.5,62.4,warning,,Texas
20250429,SITE-010,25.49187,-80.50087,4,-116,9.5,31.1,critical,,Florida
20250429,SITE-011,40.92183,-73.98145,6,-81.4,-0.7,50.1,warning,,Atlantic
20250429,SITE-012,41.87881,-87.66705,14,-116.1,0.4,46.7,critical,,Central
20250429,SITE-013,37.3045,-122.43594,8,-92.1,-0.4,47.8,critical,,West
20250429,SITE-014,32.71062,-96.96602,8,-80.7,5.6,63.5,warning,,Texas
20250429,SITE-015,25.45595,-80.2284,15,-80.6,-1.9,73.3,good,,Florida
20250429,SITE-016,40.83754,-73.86785,15,-105.5,2.2,59.5,warning,,Atlantic
20250429,SITE-017,41.85645,-87.79299,10,-115.4,2.1,38.6,critical,,Central
20250429,SITE-018,37.56537,-122.62342,10,-111,5.2,45.7,critical,,West
20250429,SITE-019,33.09236,-96.83689,4,-84.2,15.1,61.6,warning,,Texas
20250429,SITE-020,26.02804,-80.33478,3,-80.1,7.3,52.7,warning,,Florida
20250429,SITE-021,40.96709,-73.74242,13,-92.9,-2,58.6,warning,,Atlantic
20250429,SITE-022,41.51311,-87.25139,4,-90.3,17.3,59.7,warning,,Central
20250429,SITE-023,37.91433,-122.08757,6,-106.5,9.9,44,critical,,West
20250429,SITE-024,32.92998,-96.80901,9,-91,2,54.1,warning,,Texas
20250429,SITE-025,25.67162,-80.70623,7,-89.7,15,65.4,warning,,Florida
20250429,SITE-026,40.97657,-74.13707,13,-95.9,5.1,64.9,warning,,Atlantic
