month_id,territory_id,sug_revenue,run_rate,take_rate_pct,aard_pct,return_rate_pct,ris_pct,month_name
202411,T-001,753948.46,10115326.85,70.18,24.71,3.41,90.9,Nov
202411,T-002,955535.77,10405158.2,62.63,27.66,4.69,88.28,Nov
202411,T-003,826268.64,10187585.51,54.1,27.56,4.93,83.61,Nov
202411,T-004,791606.03,10049686.85,62.12,26.93,4.08,89.93,Nov
202411,T-005,916350.67,11515273.7,63.83,28.51,4.73,88.27,Nov
202411,T-006,915352.6,9396301.49,62.36,25.62,3.49,91.15,Nov
202411,T-007,855790.76,10895639.76,55.13,26.85,4.93,85.89,Nov
202411,T-008,941163.78,10780513.66,59.59,28.41,4.28,87.38,Nov
202411,T-009,827792.48,10695737.56,71.81,20.8,3.48,93.53,Nov
202411,T-010,858517.88,9426592.28,67.13,24.7,3.1,92.68,Nov
202411,T-011,959996.8,10074594.36,61.7,26.09,3.98,86.28,Nov
202411,T-012,896860.07,10075453.25,59.14,29.38,4.21,87.6,Nov
202411,T-013,869361.14,9982660.86,68.83,25.33,3.29,88.59,Nov
202411,T-014,782506.72,10943693.67,65.78,23.78,3.71,90.99,Nov
202411,T-015,849438.26,11246275.95,59.23,26.07,4.69,87.61,Nov
202411,T-016,680999.57,10120035.99,64.48,25.2,3.5,92.32,Nov
202411,T-017,885151.69,10162279.1,65.27,24.2,3.87,88.62,Nov
202411,T-018,924680.55,10576180.44,58.95,29.1,4.31,85.57,Nov
202411,T-019,845569.87,8954237.38,62.4,26.76,3.72,87.2,Nov
202411,T-020,912028.08,9312147.1,50.2,30.49,5.09,82.43,Nov
202412,T-001,801446.05,10766742.52,68.2,24.18,2.92,91.71,Dec
202412,T-002,963143.64,9317984.97,59.58,29.16,4.06,88.09,Dec
202412,T-003,821702.13,10445566.46,55.97,28.17,4.96,84.35,Dec
202412,T-004,973998.89,10934630.9,62.7,26.02,3.51,88.4,Dec
202412,T-005,929900.97,10185278.83,59.97,29.7,4.59,88.35,Dec
202412,T-006,942120.28,11011719.26,63.11,25.22,3.75,91.35,Dec
202412,T-007,887164.68,10896939.26,54.4,29.9,4.68,86.07,Dec
202412,T-008,819064.79,12171292.93,59.99,30.19,4.35,86.71,Dec
202412,T-009,954034.42,11207208.42,70.29,24.07,2.77,94.49,Dec
202412,T-010,891642.82,10719426.41,67.48,22.09,2.75,92.64,Dec
202412,T-011,856760.88,12384739.05,61.67,29.71,3.93,88.29,Dec
202412,T-012,870239.48,10155814.18,57.92,28.1,4.39,88.64,Dec
202412,T-013,951256.85,10474233.49,68.05,23.9,3.14,90.13,Dec
202412,T-014,802733.82,9929464.51,64.49,25.25,3.49,91.27,Dec
202412,T-015,866899.28,10465794,57.8,27.09,4.55,87.25,Dec
202412,T-016,888281.15,10405129.24,63.71,22.39,3.43,91.37,Dec
202412,T-017,876367.26,9874947.82,64.82,25.06,3.96,86.87,Dec
202412,T-018,891765.09,10449467.44,59.41,29.84,4.35,87.24,Dec
202412,T-019,927179.81,9847107.64,63.37,27.36,5.03,85.01,Dec
202412,T-020,792693.85,9343143.56,54.5,30.25,5.68,83.48,Dec
202501,T-001,925492.01,11606383.39,67.87,25.25,3.35,93,Jan
202501,T-002,859773.57,10232104.43,61.12,27.86,4.75,87.92,Jan
202501,T-003,958352.28,10769682.75,54.97,26.4,4.86,86.07,Jan
202501,T-004,870061.25,9691086.8,64.17,28.72,3.97,89.3,Jan
202501,T-005,834871.1,10219238.34,65.01,28.71,4.35,86.38,Jan
202501,T-006,875863.99,9268983.5,67.34,24.94,3.22,91.09,Jan
202501,T-007,838246.38,11248090.97,60.61,30.13,4.76,85.21,Jan
202501,T-008,853965.9,10231996.66,60.54,28.56,4.65,88.22,Jan
202501,T-009,963424.94,9692268.12,69.91,20.13,2.51,91.75,Jan
202501,T-010,857508.64,10673538.71,70.79,23.36,3.1,91.19,Jan
202501,T-011,953810.47,10532518.66,58.15,27.03,4.09,91.54,Jan
202501,T-012,938738.24,9945033.98,55.69,29.48,4.31,88.62,Jan
